date_key,date,date_id,day_name,day_name_abbrev,day_of_month,day_of_week,day_of_year,holiday_name,is_holiday,is_weekday,is_weekend,month_abbrev,month_end_flag,month_name,month_number,quarter,quarter_name,quarter_short_name,season,week_begin_date,week_begin_date_id,week_num_in_month,week_num_in_year,year,year_and_month,year_and_month_abbrev,year_and_quarter
279,2020-10-06,20201006,Tuesday,Tue,6,3,280,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-03,20201003,2,40,2020,2020/10,2020/Oct,2020/Q4
280,2020-10-07,20201007,Wednesday,Wed,7,4,281,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-03,20201003,2,40,2020,2020/10,2020/Oct,2020/Q4
281,2020-10-08,20201008,Thursday,Thu,8,5,282,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-03,20201003,2,40,2020,2020/10,2020/Oct,2020/Q4
282,2020-10-09,20201009,Friday,Fri,9,6,283,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-03,20201003,2,40,2020,2020/10,2020/Oct,2020/Q4
283,2020-10-10,20201010,Saturday,Sat,10,7,284,NoHoliday,False,False,True,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-03,20201003,2,40,2020,2020/10,2020/Oct,2020/Q4
284,2020-10-11,20201011,Sunday,Sun,11,1,285,NoHoliday,False,False,True,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-11,20201011,3,41,2020,2020/10,2020/Oct,2020/Q4
285,2020-10-12,20201012,Monday,Mon,12,2,286,Thanksgiving,True,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-10,20201010,3,41,2020,2020/10,2020/Oct,2020/Q4
286,2020-10-13,20201013,Tuesday,Tue,13,3,287,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-10,20201010,3,41,2020,2020/10,2020/Oct,2020/Q4
287,2020-10-14,20201014,Wednesday,Wed,14,4,288,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-10,20201010,3,41,2020,2020/10,2020/Oct,2020/Q4
288,2020-10-15,20201015,Thursday,Thu,15,5,289,NoHoliday,False,True,False,Oct,False,October,10,4,Fourth,Q4,Fall,2020-10-10,20201010,3,41,2020,2020/10,2020/Oct,2020/Q4
